date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking_date,home_rank,home_ranking_points,away_ranking_date,away_rank,away_ranking_points,rank_diff,points_diff,home_win,draw
2021-06-03,Algeria,Mauritania,4,1,Friendly,Blida,Algeria,False,2021-05-27,33,1486.69,2021-05-27,101,1224.76,68,261.93000000000006,1,0
2021-06-03,Argentina,Chile,1,1,FIFA World Cup qualification,Santiago del Estero,Argentina,False,2021-05-27,8,1641.95,2021-05-27,19,1569.52,11,72.43000000000006,0,1
2021-06-03,Belgium,Greece,1,1,Friendly,Brussels,Belgium,False,2021-05-27,1,1783.38,2021-05-27,51,1418.7,50,364.68000000000006,0,1
2021-06-03,Iran,Hong Kong,3,1,FIFA World Cup qualification,Arad,Iran,False,2021-05-27,31,1499.52,2021-05-27,144,1072.0,113,427.52,1,0
2021-06-03,Kuwait,Australia,0,3,FIFA World Cup qualification,Kuwait City,Kuwait,False,2021-05-27,148,1056.3,2021-05-27,41,1457.49,-107,-401.19000000000005,0,0
2021-06-03,Mexico,Costa Rica,0,0,CONCACAF Nations League,Denver,United States,True,2021-05-27,11,1629.56,2021-05-27,50,1423.4,39,206.15999999999985,0,1
2021-06-03,Peru,Colombia,0,3,FIFA World Cup qualification,Lima,Peru,False,2021-05-27,27,1511.88,2021-05-27,15,1600.66,-12,-88.77999999999997,0,0
2021-06-03,Qatar,India,1,0,FIFA World Cup qualification,Doha,Qatar,False,2021-05-27,58,1397.92,2021-05-27,105,1184.36,47,213.56000000000017,1,0
2021-06-03,Switzerland,Liechtenstein,7,0,Friendly,St. Gallen,Switzerland,False,2021-05-27,13,1606.21,2021-05-27,186,911.05,173,695.1600000000001,1,0
2021-06-03,Turkey,Moldova,2,0,Friendly,Paderborn,Germany,True,,,,2021-05-27,177,948.16,,,1,0
2021-06-03,United States,Honduras,1,0,CONCACAF Nations League,Denver,United States,False,2021-05-27,20.0,1555.42,2021-05-27,67,1361.21,47.0,194.21000000000004,1,0
2021-06-03,Uruguay,Paraguay,0,0,FIFA World Cup qualification,Montevideo,Uruguay,False,2021-05-27,9,1639.08,2021-05-27,35,1476.02,26,163.05999999999995,0,1
2021-06-04,Brazil,Ecuador,2,0,FIFA World Cup qualification,Porto Alegre,Brazil,False,2021-05-27,3,1742.65,2021-05-27,53,1413.01,50,329.6400000000001,1,0
2021-06-04,Italy,Czech Republic,4,0,Friendly,Bologna,Italy,False,2021-05-27,7,1642.06,2021-05-27,40,1458.81,33,183.25,1,0
2021-06-04,Spain,Portugal,0,0,Friendly,Madrid,Spain,False,2021-05-27,6,1648.13,2021-05-27,5,1666.12,-1,-17.98999999999978,0,1
2021-06-05,Aruba,Canada,0,7,FIFA World Cup qualification,Bradenton,United States,True,2021-05-27,205,850.1,2021-05-27,70,1340.56,-135,-490.4599999999999,0,0
2021-06-05,British Virgin Islands,Curaçao,0,8,FIFA World Cup qualification,Guatemala City,Guatemala,True,2021-05-27,208,826.27,,,,,,0,0
2021-06-05,Ivory Coast,Burkina Faso,2,1,Friendly,Abidjan,Ivory Coast,False,,,,2021-05-27,60,1392.9,,,1,0
2021-06-05,Panama,Anguilla,13,0,FIFA World Cup qualification,Panama City,Panama,False,2021-05-27,78.0,1321.97,2021-05-27,209,805.42,131.0,516.5500000000001,1,0
2021-06-05,Saudi Arabia,Yemen,3,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,False,2021-05-27,65,1364.39,2021-05-27,145,1070.54,80,293.85000000000014,1,0
2021-06-05,Senegal,Zambia,3,1,Friendly,Thiès,Senegal,False,2021-05-27,22,1542.45,2021-05-27,87,1280.15,65,262.29999999999995,1,0
2021-06-05,South Korea,Turkmenistan,5,0,FIFA World Cup qualification,Goyang,South Korea,False,2021-05-27,39,1460.25,2021-05-27,130,1106.51,91,353.74,1,0
2021-06-05,Sweden,Armenia,3,1,Friendly,Stockholm,Sweden,False,2021-05-27,18,1569.81,2021-05-27,90,1273.28,72,296.53,1,0
2021-06-05,Tunisia,DR Congo,1,0,Friendly,Radès,Tunisia,False,2021-05-27,26,1512.88,2021-05-27,61,1376.65,35,136.23000000000002,1,0
2021-06-05,Turks and Caicos Islands,Haiti,0,10,FIFA World Cup qualification,Providenciales,Turks and Caicos Islands,False,2021-05-27,206,843.65,2021-05-27,83,1290.62,-123,-446.9699999999999,0,0
2021-06-06,Algeria,Mali,1,0,Friendly,Blida,Algeria,False,2021-05-27,33,1486.69,2021-05-27,57,1400.94,24,85.75,1,0
2021-06-06,Austria,Slovakia,0,0,Friendly,Vienna,Austria,False,2021-05-27,23,1523.42,2021-05-27,36,1475.24,13,48.180000000000064,0,1
2021-06-06,Belgium,Croatia,1,0,Friendly,Brussels,Belgium,False,2021-05-27,1,1783.38,2021-05-27,14,1605.75,13,177.6300000000001,1,0
2021-06-06,Denmark,Bosnia and Herzegovina,2,0,Friendly,Brondbyvester,Denmark,False,2021-05-27,10,1631.55,2021-05-27,55,1404.87,45,226.68000000000006,1,0
2021-06-06,England,Romania,1,0,Friendly,London,England,False,2021-05-27,4,1686.78,2021-05-27,43,1449.23,39,237.54999999999995,1,0
2021-06-06,Luxembourg,Scotland,0,1,Friendly,Luxembourg,Luxembourg,False,2021-05-27,96,1244.86,2021-05-27,44,1441.43,-52,-196.57000000000016,0,0
2021-06-06,Netherlands,Georgia,3,0,Friendly,Enschede,Netherlands,False,2021-05-27,16,1598.04,2021-05-27,91,1259.51,75,338.53,1,0
2021-06-06,Norway,Greece,1,2,Friendly,Málaga,Spain,True,2021-05-27,42,1452.34,2021-05-27,51,1418.7,9,33.63999999999987,0,0
2021-06-06,United States,Mexico,3,2,CONCACAF Nations League,Denver,United States,False,2021-05-27,20.0,1555.42,2021-05-27,11,1629.56,-9.0,-74.13999999999987,1,0
2021-06-07,Australia,Taiwan,5,1,FIFA World Cup qualification,Kuwait City,Kuwait,True,2021-05-27,41,1457.49,,,,,,1,0
2021-06-07,Bahrain,Iran,0,3,FIFA World Cup qualification,Riffa,Bahrain,False,2021-05-27,98,1240.1,2021-05-27,31,1499.52,-67,-259.4200000000001,0,0
2021-06-07,Germany,Latvia,7,1,Friendly,Düsseldorf,Germany,False,2021-05-27,12,1609.12,2021-05-27,138,1081.66,126,527.4599999999998,1,0
2021-06-07,Iraq,Cambodia,4,1,FIFA World Cup qualification,Arad,Iran,True,2021-05-27,68.0,1352.82,2021-05-27,174,963.79,106.0,389.03,1,0
2021-06-07,Japan,Tajikistan,4,1,FIFA World Cup qualification,Suita,Japan,False,2021-05-27,28,1509.34,2021-05-27,121.0,1151.1,93.0,358.24,1,0
2021-06-07,Nepal,Jordan,0,3,FIFA World Cup qualification,Kuwait City,Kuwait,True,2021-05-27,171,967.88,2021-05-27,95,1251.63,-76,-283.7500000000001,0,0
2021-06-07,Qatar,Oman,1,0,FIFA World Cup qualification,Doha,Qatar,False,2021-05-27,58,1397.92,2021-05-27,80,1301.51,22,96.41000000000008,1,0
2021-06-07,Uzbekistan,Singapore,5,0,FIFA World Cup qualification,Riyadh,Saudi Arabia,True,2021-05-27,86,1280.99,2021-05-27,159,1020.27,73,260.72,1,0
2021-06-08,Canada,Suriname,4,0,FIFA World Cup qualification,Bridgeview,United States,True,2021-05-27,70,1340.56,2021-05-27,136,1089.43,66,251.12999999999988,1,0
2021-06-08,Colombia,Argentina,2,2,FIFA World Cup qualification,Barranquilla,Colombia,False,2021-05-27,15,1600.66,2021-05-27,8,1641.95,-7,-41.289999999999964,0,1
